题目,出现次数,链接,分类
25. K 个一组翻转链表,60,https://leetcode-cn.com/problems/reverse-nodes-in-k-group,链表
3. 无重复字符的最长子串,57,https://leetcode-cn.com/problems/longest-substring-without-repeating-characters,动态规划
146. LRU缓存机制,53,https://leetcode-cn.com/problems/lru-cache,栈与队列
215. 数组中的第K个最大元素,52,https://leetcode-cn.com/problems/kth-largest-element-in-an-array,数组
206. 反转链表,51,https://leetcode-cn.com/problems/reverse-linked-list,链表
103. 二叉树的锯齿形层次遍历,47,https://leetcode-cn.com/problems/binary-tree-zigzag-level-order-traversal,树
15. 三数之和,42,https://leetcode-cn.com/problems/3sum,数组
121. 买卖股票的最佳时机,41,https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock,动态规划
160. 相交链表,32,https://leetcode-cn.com/problems/intersection-of-two-linked-lists,链表
236. 二叉树的最近公共祖先,32,https://leetcode-cn.com/problems/lowest-common-ancestor-of-a-binary-tree,树
42. 接雨水,31,https://leetcode-cn.com/problems/trapping-rain-water,动态规划
33. 搜索旋转排序数组,27,https://leetcode-cn.com/problems/search-in-rotated-sorted-array,数组
31. 下一个排列,27,https://leetcode-cn.com/problems/next-permutation,其他
199. 二叉树的右视图,24,https://leetcode-cn.com/problems/binary-tree-right-side-view,树
54. 螺旋矩阵,24,https://leetcode-cn.com/problems/spiral-matrix,其他
143. 重排链表,24,https://leetcode-cn.com/problems/reorder-list,链表
23. 合并K个排序链表,23,https://leetcode-cn.com/problems/merge-k-sorted-lists,链表
21. 合并两个有序链表,22,https://leetcode-cn.com/problems/merge-two-sorted-lists,链表
300. 最长上升子序列,21,https://leetcode-cn.com/problems/longest-increasing-subsequence,动态规划
69. x 的平方根,20,https://leetcode-cn.com/problems/sqrtx,其他
92. 反转链表 II,20,https://leetcode-cn.com/problems/reverse-linked-list-ii,链表
105. 从前序与中序遍历序列构造二叉树,19,https://leetcode-cn.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,树
1. 两数之和,19,https://leetcode-cn.com/problems/two-sum,数学
124. 二叉树中的最大路径和,18,https://leetcode-cn.com/problems/binary-tree-maximum-path-sum,树
200. 岛屿数量,18,https://leetcode-cn.com/problems/number-of-islands,数学
41. 缺失的第一个正数,17,https://leetcode-cn.com/problems/first-missing-positive,数学
101. 对称二叉树,16,https://leetcode-cn.com/problems/symmetric-tree,树
56. 合并区间,16,https://leetcode-cn.com/problems/merge-intervals,其他
415. 字符串相加,16,https://leetcode-cn.com/problems/add-strings,字符串
155. 最小栈,16,https://leetcode-cn.com/problems/min-stack,栈与队列
46. 全排列,16,https://leetcode-cn.com/problems/permutations,其他
76. 最小覆盖子串,16,https://leetcode-cn.com/problems/minimum-window-substring,动态规划
补充题1. 排序奇升偶降链表,16,https://mp.weixin.qq.com/s/0WVa2wIAeG0nYnVndZiEXQ,链表
141. 环形链表,14,https://leetcode-cn.com/problems/linked-list-cycle,链表
221. 最大正方形,14,https://leetcode-cn.com/problems/maximal-square,其他
20. 有效的括号,14,https://leetcode-cn.com/problems/valid-parentheses,其他
98. 验证二叉搜索树,14,https://leetcode-cn.com/problems/validate-binary-search-tree,树
39. 组合总和,14,https://leetcode-cn.com/problems/combination-sum,其他
102. 二叉树的层序遍历,13,https://leetcode-cn.com/problems/binary-tree-level-order-traversal,树
53. 最大子序和,13,https://leetcode-cn.com/problems/maximum-subarray,其他
322. 零钱兑换,13,https://leetcode-cn.com/problems/coin-change,其他
162. 寻找峰值,13,https://leetcode-cn.com/problems/find-peak-element,其他
122. 买卖股票的最佳时机 II,13,https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-ii,动态规划
142. 环形链表 II,13,https://leetcode-cn.com/problems/linked-list-cycle-ii,链表
48. 旋转图像,13,https://leetcode-cn.com/problems/rotate-image,数组
470. 用 Rand7() 实现 Rand10(),13,https://leetcode-cn.com/problems/implement-rand10-using-rand7,其他
补充题2. 圆环回原点问题,13,https://mp.weixin.qq.com/s/NZPaFsFrTybO3K3s7p7EVg,其他
234. 回文链表,12,https://leetcode-cn.com/problems/palindrome-linked-list,链表
518. 零钱兑换 II,12,https://leetcode-cn.com/problems/coin-change-2,其他
88. 合并两个有序数组,12,https://leetcode-cn.com/problems/merge-sorted-array,数组
2. 两数相加,12,https://leetcode-cn.com/problems/add-two-numbers,数学
32. 最长有效括号,12,https://leetcode-cn.com/problems/longest-valid-parentheses,其他
958. 二叉树的完全性检验,12,https://leetcode-cn.com/problems/check-completeness-of-a-binary-tree,树
148. 排序链表,12,https://leetcode-cn.com/problems/sort-list,链表
198. 打家劫舍,12,https://leetcode-cn.com/problems/house-robber,其他
232. 用栈实现队列,12,https://leetcode-cn.com/problems/implement-queue-using-stacks,栈与队列
补充题4. 手撕快速排序,12,https://leetcode-cn.com/problems/sort-an-array,其他
113. 路径总和 II,11,https://leetcode-cn.com/problems/path-sum-ii,动态规划
5. 最长回文子串,11,https://leetcode-cn.com/problems/longest-palindromic-substring,动态规划
543. 二叉树的直径,10,https://leetcode-cn.com/problems/diameter-of-binary-tree,树
79. 单词搜索,10,https://leetcode-cn.com/problems/word-search,其他
82. 删除排序链表中的重复元素 II,10,https://leetcode-cn.com/problems/remove-duplicates-from-sorted-list-ii,链表
83. 删除排序链表中的重复元素,9,https://leetcode-cn.com/problems/remove-duplicates-from-sorted-list,链表
128. 最长连续序列,9,https://leetcode-cn.com/problems/longest-consecutive-sequence,其他
22. 括号生成,9,https://leetcode-cn.com/problems/generate-parentheses,其他
94. 二叉树的中序遍历,9,https://leetcode-cn.com/problems/binary-tree-inorder-traversal,树
739. 每日温度,9,https://leetcode-cn.com/problems/daily-temperatures,其他
78. 子集,9,https://leetcode-cn.com/problems/subsets,其他
补充题9. 36进制加法,9,https://mp.weixin.qq.com/s/XcKQwnwCh5nZsz-DLHJwzQ,其他
剑指 Offer 54. 二叉搜索树的第k大节点,8,https://leetcode-cn.com/problems/er-cha-sou-suo-shu-de-di-kda-jie-dian-lcof,树
8. 字符串转换整数 (atoi),8,https://leetcode-cn.com/problems/string-to-integer-atoi,字符串
24. 两两交换链表中的节点,8,https://leetcode-cn.com/problems/swap-nodes-in-pairs,链表
114. 二叉树展开为链表,8,https://leetcode-cn.com/problems/flatten-binary-tree-to-linked-list,链表
剑指 Offer 22. 链表中倒数第k个节点,8,https://leetcode-cn.com/problems/lian-biao-zhong-dao-shu-di-kge-jie-dian-lcof,链表
93. 复原IP地址,8,https://leetcode-cn.com/problems/restore-ip-addresses,其他
440. 字典序的第K小数字,8,https://leetcode-cn.com/problems/k-th-smallest-in-lexicographical-order,数学
70. 爬楼梯,7,https://leetcode-cn.com/problems/climbing-stairs,其他
112. 路径总和,7,https://leetcode-cn.com/problems/path-sum,动态规划
695. 岛屿的最大面积,7,https://leetcode-cn.com/problems/max-area-of-island,其他
138. 复制带随机指针的链表,7,https://leetcode-cn.com/problems/copy-list-with-random-pointer,链表
19. 删除链表的倒数第N个节点,7,https://leetcode-cn.com/problems/remove-nth-node-from-end-of-list,链表
129. 求根到叶子节点数字之和,7,https://leetcode-cn.com/problems/sum-root-to-leaf-numbers,数学
662. 二叉树最大宽度,7,https://leetcode-cn.com/problems/maximum-width-of-binary-tree,树
240. 搜索二维矩阵 II,7,https://leetcode-cn.com/problems/search-a-2d-matrix-ii,其他
556. 下一个更大元素 III,7,https://leetcode-cn.com/problems/next-greater-element-iii,其他
230. 二叉搜索树中第K小的元素,6,https://leetcode-cn.com/problems/kth-smallest-element-in-a-bst,树
110. 平衡二叉树,6,https://leetcode-cn.com/problems/balanced-binary-tree,树
328. 奇偶链表,6,https://leetcode-cn.com/problems/odd-even-linked-list,链表
460. LFU缓存,6,https://leetcode-cn.com/problems/lfu-cache,其他
64. 最小路径和,6,https://leetcode-cn.com/problems/minimum-path-sum,动态规划
61. 旋转链表,6,https://leetcode-cn.com/problems/rotate-list,链表
188. 买卖股票的最佳时机 IV,6,https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-iv,动态规划
224. 基本计算器,6,https://leetcode-cn.com/problems/basic-calculator,其他
剑指 Offer 36. 二叉搜索树与双向链表,6,https://leetcode-cn.com/problems/er-cha-sou-suo-shu-yu-shuang-xiang-lian-biao-lcof,链表
226. 翻转二叉树,6,https://leetcode-cn.com/problems/invert-binary-tree,树
209. 长度最小的子数组,6,https://leetcode-cn.com/problems/minimum-size-subarray-sum,数组
862. 和至少为 K 的最短子数组,6,https://leetcode-cn.com/problems/shortest-subarray-with-sum-at-least-k,数组
11. 盛最多水的容器,6,https://leetcode-cn.com/problems/container-with-most-water,其他
补充题7. 木头切割问题,6,https://mp.weixin.qq.com/s/FQma0bdAWbzLMmCKhZRk7w,其他
补充题23. 检测循环依赖,6,https://mp.weixin.qq.com/s/pCRscwKqQdYYN7M1Sia7xA,其他
108. 将有序数组转换为二叉搜索树,5,https://leetcode-cn.com/problems/convert-sorted-array-to-binary-search-tree,树
1143. 最长公共子序列,5,https://leetcode-cn.com/problems/longest-common-subsequence,动态规划
297. 二叉树的序列化与反序列化,5,https://leetcode-cn.com/problems/serialize-and-deserialize-binary-tree,树
560. 和为K的子数组,5,https://leetcode-cn.com/problems/subarray-sum-equals-k,数组
704. 二分查找,5,https://leetcode-cn.com/problems/binary-search,其他
670. 最大交换,5,https://leetcode-cn.com/problems/maximum-swap,其他
421. 数组中两个数的最大异或值,5,https://leetcode-cn.com/problems/maximum-xor-of-two-numbers-in-an-array,数组
104. 二叉树的最大深度,5,https://leetcode-cn.com/problems/maximum-depth-of-binary-tree,树
135. 分发糖果,5,https://leetcode-cn.com/problems/candy,其他
151. 翻转字符串里的单词,5,https://leetcode-cn.com/problems/reverse-words-in-a-string,字符串
287. 寻找重复数,5,https://leetcode-cn.com/problems/find-the-duplicate-number,数学
528. 按权重随机选择,5,https://leetcode-cn.com/problems/random-pick-with-weight,其他
91. 解码方法,5,https://leetcode-cn.com/problems/decode-ways,其他
59. 螺旋矩阵 II,5,https://leetcode-cn.com/problems/spiral-matrix-ii,其他
718. 最长重复子数组,5,https://leetcode-cn.com/problems/maximum-length-of-repeated-subarray,数组
139. 单词拆分,4,https://leetcode-cn.com/problems/word-break,其他
剑指 Offer 11. 旋转数组的最小数字,4,https://leetcode-cn.com/problems/xuan-zhuan-shu-zu-de-zui-xiao-shu-zi-lcof,数组
62. 不同路径,4,https://leetcode-cn.com/problems/unique-paths,动态规划
剑指 Offer 51. 数组中的逆序对,4,https://leetcode-cn.com/problems/shu-zu-zhong-de-ni-xu-dui-lcof,数组
40. 组合总和 II,4,https://leetcode-cn.com/problems/combination-sum-ii,其他
1047. 删除字符串中的所有相邻重复项,4,https://leetcode-cn.com/problems/remove-all-adjacent-duplicates-in-string,字符串
402. 移掉K位数字,4,https://leetcode-cn.com/problems/remove-k-digits,数学
169. 多数元素,4,https://leetcode-cn.com/problems/majority-element,数学
152. 乘积最大子数组,4,https://leetcode-cn.com/problems/maximum-product-subarray,数组
"50. Pow(x, n)",4,https://leetcode-cn.com/problems/powx-n,其他
4. 寻找两个正序数组的中位数,4,https://leetcode-cn.com/problems/median-of-two-sorted-arrays,数组
456. 132模式,4,https://leetcode-cn.com/problems/132-pattern,其他
239. 滑动窗口最大值,4,https://leetcode-cn.com/problems/sliding-window-maximum,其他
722. 删除注释,4,https://leetcode-cn.com/problems/remove-comments,其他
1095. 山脉数组中查找目标值,4,https://leetcode-cn.com/problems/find-in-mountain-array,数组
72. 编辑距离,4,https://leetcode-cn.com/problems/edit-distance,其他
153. 寻找旋转排序数组中的最小值,4,https://leetcode-cn.com/problems/find-minimum-in-rotated-sorted-array,数组
补充题3. 求区间最小数乘区间和的最大值,4,https://mp.weixin.qq.com/s/UFv7pt_djjZoK_gzUBrRXA,数学
补充题6. 手撕堆排序,4,https://leetcode-cn.com/problems/sort-an-array,其他
227. 基本计算器 II,4,https://leetcode-cn.com/problems/basic-calculator-ii,其他
763. 划分字母区间,4,https://leetcode-cn.com/problems/partition-labels,其他
剑指 Offer 53 - I. 在排序数组中查找数字 I,4,https://leetcode-cn.com/problems/zai-pai-xu-shu-zu-zhong-cha-zhao-shu-zi-lcof,数组
剑指 Offer 61. 扑克牌中的顺子,3,https://leetcode-cn.com/problems/bu-ke-pai-zhong-de-shun-zi-lcof,其他
977. 有序数组的平方,3,https://leetcode-cn.com/problems/squares-of-a-sorted-array,数组
剑指 Offer 09. 用两个栈实现队列,3,https://leetcode-cn.com/problems/yong-liang-ge-zhan-shi-xian-dui-lie-lcof,栈与队列
503. 下一个更大元素 II,3,https://leetcode-cn.com/problems/next-greater-element-ii,其他
283. 移动零,3,https://leetcode-cn.com/problems/move-zeroes,其他
166. 分数到小数,3,https://leetcode-cn.com/problems/fraction-to-recurring-decimal,数学
264. 丑数 II,3,https://leetcode-cn.com/problems/ugly-number-ii,数学
210. 课程表 II,3,https://leetcode-cn.com/problems/course-schedule-ii,其他
394. 字符串解码,3,https://leetcode-cn.com/problems/decode-string,字符串
145. 二叉树的后序遍历,3,https://leetcode-cn.com/problems/binary-tree-postorder-traversal,树
71. 简化路径,3,https://leetcode-cn.com/problems/simplify-path,动态规划
134. 加油站,3,https://leetcode-cn.com/problems/gas-station,其他
340. 至多包含 K 个不同字符的最长子串,3,https://leetcode-cn.com/problems/longest-substring-with-at-most-k-distinct-characters,动态规划
86. 分隔链表,3,https://leetcode-cn.com/problems/partition-list,链表
329. 矩阵中的最长递增路径,3,https://leetcode-cn.com/problems/longest-increasing-path-in-a-matrix,动态规划
144. 二叉树的前序遍历,3,https://leetcode-cn.com/problems/binary-tree-preorder-traversal,树
10. 正则表达式匹配,3,https://leetcode-cn.com/problems/regular-expression-matching,其他
剑指 Offer 46. 把数字翻译成字符串,3,https://leetcode-cn.com/problems/ba-shu-zi-fan-yi-cheng-zi-fu-chuan-lcof,字符串
136. 只出现一次的数字,3,https://leetcode-cn.com/problems/single-number,数学
18. 四数之和,3,https://leetcode-cn.com/problems/4sum,数学
剑指 Offer 27. 二叉树的镜像,3,https://leetcode-cn.com/problems/er-cha-shu-de-jing-xiang-lcof,树
225. 用队列实现栈,3,https://leetcode-cn.com/problems/implement-stack-using-queues,栈与队列
647. 回文子串,3,https://leetcode-cn.com/problems/palindromic-substrings,动态规划
34. 在排序数组中查找元素的第一个和最后一个位置,3,https://leetcode-cn.com/problems/find-first-and-last-position-of-element-in-sorted-array,数组
165. 比较版本号,3,https://leetcode-cn.com/problems/compare-version-numbers,其他
887. 鸡蛋掉落,3,https://leetcode-cn.com/problems/super-egg-drop,其他
106. 从中序与后序遍历序列构造二叉树,3,https://leetcode-cn.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,树
498. 对角线遍历,3,https://leetcode-cn.com/problems/diagonal-traverse,其他
354. 俄罗斯套娃信封问题,3,https://leetcode-cn.com/problems/russian-doll-envelopes,其他
767. 重构字符串,3,https://leetcode-cn.com/problems/reorganize-string,字符串
1254. 统计封闭岛屿的数目,2,https://leetcode-cn.com/problems/number-of-closed-islands,数学
347. 前 K 个高频元素,2,https://leetcode-cn.com/problems/top-k-frequent-elements,其他
剑指 Offer 10- II. 青蛙跳台阶问题,2,https://leetcode-cn.com/problems/qing-wa-tiao-tai-jie-wen-ti-lcof,其他
剑指 Offer 45. 把数组排成最小的数,2,https://leetcode-cn.com/problems/ba-shu-zu-pai-cheng-zui-xiao-de-shu-lcof,数组
99. 恢复二叉搜索树,2,https://leetcode-cn.com/problems/recover-binary-search-tree,树
125. 验证回文串,2,https://leetcode-cn.com/problems/valid-palindrome,其他
剑指 Offer 21. 调整数组顺序使奇数位于偶数前面,2,https://leetcode-cn.com/problems/diao-zheng-shu-zu-shun-xu-shi-qi-shu-wei-yu-ou-shu-qian-mian-lcof,数组
